id,area_sq_km,country,fert_rate,med_age,migrants,net_change,pop_per_sq_km,pop_urban_perc,population,world_perc,year_change_perc
216,10,Gibraltar,,,,-10,3369,,33689,0.0,-0.03
217,150,"British Virgin Islands",,,,201,202,52.0,30266,0.0,0.67
218,328,"Caribbean Netherlands",,,,244,80,75.0,26265,0.0,0.94
219,460,Palau,,,,86,39,,18109,0.0,0.48
220,240,"Cook Islands",,,,16,73,75.0,17567,0.0,0.09
221,90,Anguilla,,,,134,167,,15026,0.0,0.9
222,30,Tuvalu,,,,146,393,62.0,11817,0.0,1.25
223,140,"Wallis & Futuna",,,,-193,80,0.0,11203,0.0,-1.69
224,20,Nauru,,,,68,541,,10836,0.0,0.63
225,21,"Saint Barthelemy",,,,30,470,0.0,9882,0.0,0.3
226,390,"Saint Helena",,,,18,16,27.0,6080,0.0,0.3
227,230,"Saint Pierre & Miquelon",,,,-28,25,100.0,5789,0.0,-0.48
228,100,Montserrat,,,,3,50,10.0,4993,0.0,0.06
229,12170,"Falkland Islands",,,,103,0,66.0,3497,0.0,3.05
230,260,Niue,,,,11,6,46.0,1628,0.0,0.68
231,10,Tokelau,,,,17,136,0.0,1360,0.0,1.27
232,0,"Holy See",,,,2,2003,,801,0.0,0.25
